frame,audio_rms,audio_onset
0,0.03461513,0.0
1,0.03897495,0.0
2,0.04407576,0.0
3,0.045531474,0.83514845
4,0.04250676,2.112139
5,0.040663138,0.79818803
6,0.03900972,0.75411224
7,0.035992626,1.0358143
8,0.032891545,1.2111624
9,0.03119489,1.0340991
10,0.03076675,1.2730944
11,0.031197475,1.0513135
12,0.031207956,0.8595445
13,0.030795166,0.82906425
14,0.030681,0.9208078
15,0.04338867,0.68399394
16,0.04699478,0.6800642
17,0.047392394,0.8194443
18,0.04828448,1.1238959
19,0.04907415,1.922023
20,0.03873519,1.312797
21,0.033428933,0.88169503
22,0.031862326,0.78563553
23,0.030154716,0.9025563
24,0.02815391,0.6695197
25,0.03238931,0.66683406
26,0.03947336,0.77582824
27,0.047940377,0.8958829
28,0.05701684,0.9056642
29,0.072932065,1.0139856
30,0.07936098,1.2321107
31,0.0798797,1.354186
32,0.077365845,1.2744844
33,0.07238003,1.0913675
34,0.056396294,0.8311047
35,0.044251762,0.6026511
36,0.038700067,0.527551
37,0.03971329,0.68878335
38,0.042763535,0.7250599
39,0.044016365,0.92349935
40,0.045773618,2.592422
41,0.04667265,4.1810074
42,0.042260308,1.5381073
43,0.03776545,0.95957154
44,0.03505901,0.8118546
45,0.03144716,0.72381455
46,0.026434537,0.5939317
47,0.026049253,0.9798547
48,0.024000702,0.7868516
49,0.024155866,0.8380698
50,0.025946083,1.0248814
51,0.0281467,1.0464603
52,0.034966726,0.7971744
53,0.040213972,0.8935128
54,0.044827357,0.9833484
55,0.048335303,1.0576032
56,0.04894716,1.3867584
57,0.04476802,1.0082363
58,0.040058807,0.8151043
59,0.033605475,0.78465617
60,0.025901232,0.82440054
61,0.023802081,0.71329856
62,0.025045404,0.6903286
63,0.026062135,0.6608651
64,0.027877374,0.72299904
65,0.032105453,0.996435
66,0.03154758,1.1451887
67,0.029801518,1.0533704
68,0.0292086,0.9038722
69,0.032839987,0.81353897
70,0.045670643,0.88402206
71,0.084538326,0.9034315
72,0.09782925,1.4572637
73,0.09917839,4.926923
74,0.10032443,10.533995
75,0.096073285,5.3587284
76,0.06200436,1.6551878
77,0.047102805,0.33729708
78,0.047788255,0.46658874
79,0.04621405,0.490274
80,0.04599042,0.6789998
81,0.04871281,0.7197696
82,0.048978984,0.702752
83,0.046033125,0.6320827
84,0.04376578,0.4207066
85,0.041355606,0.78403825
86,0.03508078,0.7388535
87,0.030143898,0.6805035
88,0.02984704,0.98104966
89,0.02866171,1.7063097
